 00:00:00, If you take user 8483, he rarely travels., Question, 0.0,  clear,  0.00051
 00:00:01, If you take user 8483, he rarely travels., Question, 0.0,  brush,  0.00102
 00:00:32, He’s in China and Japan, California, Mexico, that’s it, and Australia - he goes to Sydney., Sensemaking, 0.25,  range select,  0.00102
 00:00:53, I guess he just checks in one place, in very few places, actually he goes to Alaska as well., Sensemaking, 0.0,  pan,  0.02088
 00:00:53, This is surprising, I thought the guy in the top will be checking in like crazy, but he’s checking in only at a few places. , Question, 0.0,  clear,  0.00051
 00:00:54, so this guy travels a lot but he doesn’t… he travels far but he doesn’t travel a lot., Question, 0.0,  brush,  0.00102
 00:00:57, so this guy travels a lot but he doesn’t… he travels far but he doesn’t travel a lot., Question, 0.0,  range select,  0.00051
 00:01:29, This guy travels maybe far and a lot., Sensemaking, 0.0,  pan,  0.13595
 00:01:52, This guy looks like a business traveler, probably like a sales guy., Sensemaking, 0.0,  range select,  0.00255
 00:02:20, Traveling to all the cities where it matters I guess. Like Seattle, California, all the capital cities look like., Question, 0.0,  pan,  0.06670
 00:02:55, Everyone travels like all the time, , Question, 0.0,  range select,  0.00458
 00:03:02, but this guy only travels in November and December. - u8483., Sensemaking, 0.25,  pan,  0.01324
 00:03:27, He doesn’t travel throughout the year., Sensemaking, 0.0,  range select,  0.00407
 00:03:29, So he just travels in winter., Sensemaking, 0.25,  clear,  0.00051
 00:03:31, this guy travels fairly throughout the year,, Exploration, 0.0,  brush,  0.00102
 00:03:32, so does this guy. u102, Exploration, 0.0,  range select,  0.00051
 00:03:42, u2278 is mostly a summer traveler,, Question, 0.25,  clear,  0.00051
 00:03:56, he travels primarily in the US, quite a bit., Question, 0.25,  brush,  0.01171
 00:04:32, this guy travels throughout the year, , Sensemaking, 0.0,  range select,  0.00305
 00:04:43, but he’s doing more in winter,, Sensemaking, 0.25,  clear,  0.00051
 00:05:02, less often in summer., Sensemaking, 0.25,  pan,  0.09572
 00:05:02, June he’s probably off., Sensemaking, 0.0,  clear,  0.00051
 00:05:03, It’s probably like a vacation., Sensemaking, 0.0,  pan,  0.01324
 00:05:04, wow, what is this? this is basically all the data right?, Question, 0.0,  clear,  0.00051
 00:05:15, this guy(u677) travels quite a bit in Europe and Iceland,, Question, 0.25,  pan,  0.04582
 00:05:15, mostly western Europe and just california and Mexico., Sensemaking, 0.25,  zoom,  0.00051
 00:05:17, He travels fairly through the month, more so in summer. , Sensemaking, 0.25,  pan,  0.00051
 00:05:17, (u3642) Boston and East Coast, Question, 0.25,  zoom,  0.00051
 00:05:36, so like from what I see here it’s fairly obvious like London, California, New York, all the capitial cities, like primarily have a denser checkin, relative to say ..,, Sensemaking, 0.25,  pan,  0.02037
 00:05:36, Tokyo for example has intensive amount of checkins., Sensemaking, 0.25,  zoom,  0.00051
 00:05:38, Boston is pretty good, so is Texas, so is most of the western states. 
, Sensemaking, 0.25,  pan,  0.00051
 00:05:39, Like there are hardly any checkins in China, Russia., Exploration, 0.25,  clear,  0.00051
 00:05:39,  Australia, only the coast has checkins. , Sensemaking, 0.25,  pan,  0.00051
 00:05:39, New Zealand fairly popular., Sensemaking, 0.25,  zoom,  0.00051
 00:05:41, yeah nothing in North Korea,, Sensemaking, 0.25,  pan,  0.00051
 00:05:41, oh, there are some …, Sensemaking, 0.0,  zoom,  0.00051
 00:05:42, Japan is really dense., Sensemaking, 0.25,  pan,  0.00051
 00:05:42, India is like reasonably dense,, Sensemaking, 0.25,  zoom,  0.00051
 00:05:46, what is here? pretty dense? (investigator: Denver), Exploration, 0.0,  pan,  0.00051
 00:05:46, This is very very dense because New York, Boston, like the Eastern seaboard, right?, Question, 0.0,  zoom,  0.00051
 00:05:48, This is LA and San Diego, San Francisco and Seattle, Portland., Question, 0.0,  pan,  0.00051
 00:05:48, Seattle is a lot stronger than Portland,, Question, 0.25,  zoom,  0.00051
 00:05:49, Seattle is a lot stronger than Portland,, Question, 0.25,  pan,  0.00051
 00:05:49, Seattle is a lot stronger than Portland,, Question, 0.25,  zoom,  0.00051
 00:05:51, Are these patterns of people driving?, Question, 0.0,  pan,  0.00051
 00:05:51, Are these patterns of people driving?, Question, 0.0,  zoom,  0.00051
 00:05:52, Are these patterns of people driving?, Question, 0.0,  pan,  0.00051
 00:05:52, Are these patterns of people driving?, Question, 0.0,  zoom,  0.00051
 00:05:52, Are these patterns of people driving?, Question, 0.0,  pan,  0.00051
 00:05:52, Are these patterns of people driving?, Question, 0.0,  zoom,  0.00051
 00:05:58, Are these patterns of people driving?, Question, 0.0,  pan,  0.01884
 00:05:58, Are these patterns of people driving?, Question, 0.0,  zoom,  0.00051
 00:05:59, Are these patterns of people driving?, Question, 0.0,  pan,  0.00051
 00:05:59, Are these patterns of people driving?, Question, 0.0,  zoom,  0.00051
 00:06:01, Are these patterns of people driving?, Question, 0.0,  pan,  0.00051
 00:06:01, Are these patterns of people driving?, Question, 0.0,  zoom,  0.00051
 00:06:08, like because they are fairly dense but they are also kind, you know interspersed, Question, 0.0,  pan,  0.00713
 00:06:08, I'm guessing these are driving checkins, Sensemaking, 0.0,  zoom,  0.00051
 00:06:25,  and these are like flight,, Sensemaking, 0.0,  pan,  0.01018
